sensor_id;sensor_type;location;lat;lon;timestamp;P1;P4;P2;P0;N10;N4;N25;N1;N05;TS
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:00:43;10.58;10.58;10.58;10.00;79.89;79.87;79.84;79.50;68.26;0.44
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:03:34;10.64;10.64;10.64;10.06;80.32;80.30;80.27;79.92;68.62;0.43
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:06:18;10.81;10.81;10.81;10.23;81.67;81.65;81.62;81.27;69.78;0.43
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:08:57;10.87;10.87;10.87;10.28;82.08;82.06;82.03;81.67;70.12;0.45
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:11:23;11.39;11.39;11.39;10.77;86.04;86.02;85.99;85.62;73.51;0.44
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:13:49;11.77;11.77;11.77;11.13;88.88;88.86;88.83;88.44;75.94;0.45
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:16:34;11.23;11.23;11.23;10.62;84.78;84.76;84.73;84.36;72.43;0.44
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:19:18;10.69;10.69;10.69;10.11;80.74;80.72;80.69;80.34;68.98;0.45
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:22:02;10.89;10.89;10.89;10.30;82.24;82.22;82.19;81.83;70.26;0.45
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:24:30;11.45;11.45;11.45;10.83;86.46;86.44;86.40;86.03;73.86;0.45
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:27:14;11.10;11.10;11.10;10.50;83.85;83.83;83.80;83.44;71.64;0.43
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:29:58;11.04;11.04;11.04;10.44;83.40;83.38;83.35;82.99;71.26;0.44
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:32:35;10.69;10.69;10.69;10.11;80.75;80.74;80.71;80.35;68.99;0.45
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:35:06;11.30;11.30;11.30;10.69;85.36;85.34;85.31;84.94;72.93;0.44
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:37:32;10.93;10.93;10.93;10.33;82.53;82.51;82.48;82.12;70.51;0.44
29175;SPS30;19918;48.80010380;9.00258013;2020-06-10T00:40:10;10.88;10.88;10.88;10.29;82.19;82.17;82.14;81.79;70.22;0.46
