sensor_id;sensor_type;location;lat;lon;timestamp;noise_LAeq;noise_LA_min;noise_LA_max;noise_LA01;noise_LA95
17594;Laerm;8916;47.086;15.920;2020-06-10T00:01:25;44.80;38.67;59.57;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:04:35;45.25;38.21;63.66;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:07:48;44.22;36.69;55.03;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:11:15;42.27;33.90;52.45;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:14:07;43.77;36.20;50.25;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:17:08;44.43;37.52;53.30;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:20:27;43.41;33.44;51.32;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:23:32;42.34;35.04;48.85;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:26:35;44.20;37.52;51.67;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:29:55;43.74;36.20;52.21;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:33:06;44.45;35.66;51.59;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:36:02;44.26;36.10;53.20;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:39:08;44.03;38.37;53.00;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:42:13;42.86;37.32;50.83;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:45:07;42.13;34.69;51.58;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:48:14;46.36;35.66;56.84;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:51:19;43.85;35.94;53.99;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:54:24;44.70;38.05;56.29;;
17594;Laerm;8916;47.086;15.920;2020-06-10T00:57:38;44.65;35.66;58.26;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:00:36;46.32;38.05;58.11;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:03:49;45.64;34.69;59.37;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:06:44;43.47;35.31;51.79;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:09:53;44.24;38.81;48.92;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:12:51;44.69;39.58;51.74;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:15:59;45.25;41.06;53.86;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:19:04;43.49;39.68;48.02;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:21:58;46.09;42.03;50.25;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:24:45;44.58;40.03;49.06;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:27:44;45.08;41.38;50.55;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:30:53;45.14;40.33;57.42;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:34:07;45.80;42.22;54.73;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:36:54;45.88;41.53;54.83;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:40:06;44.94;39.34;51.10;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:43:01;47.01;40.62;53.81;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:46:07;43.79;36.45;51.47;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:49:23;47.22;41.06;57.06;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:52:28;49.20;41.06;58.50;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:55:24;49.43;43.49;58.61;;
17594;Laerm;8916;47.086;15.920;2020-06-10T01:58:23;49.00;42.29;56.99;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:01:18;46.85;39.46;56.72;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:04:23;48.54;42.98;56.17;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:07:23;45.51;40.03;53.96;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:10:23;44.53;41.14;49.30;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:13:42;46.67;40.89;56.51;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:16:43;47.72;42.98;54.63;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:19:39;48.19;42.76;54.84;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:22:26;48.55;41.96;59.28;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:25:17;51.24;42.35;64.61;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:28:03;50.57;41.68;59.96;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:30:59;47.69;40.62;58.63;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:33:52;47.82;40.03;58.97;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:36:49;48.68;42.03;55.15;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:39:52;47.35;41.82;54.97;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:42:46;51.89;42.76;65.72;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:45:35;51.45;44.47;67.31;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:48:36;50.08;44.80;59.36;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:51:46;50.25;44.80;61.02;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:55:04;50.74;44.62;61.28;;
17594;Laerm;8916;47.086;15.920;2020-06-10T02:57:59;52.56;44.69;61.58;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:01:04;51.33;45.23;61.17;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:03:56;51.85;45.04;60.43;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:06:42;50.65;44.94;60.09;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:09:28;53.13;45.97;61.83;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:12:15;54.50;45.66;68.44;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:14:59;52.12;46.40;65.91;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:17:39;53.99;46.66;61.34;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:20:14;54.27;49.41;58.95;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:22:44;55.49;50.74;60.89;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:25:14;56.30;52.31;62.08;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:27:45;55.97;51.07;59.99;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:30:16;54.48;49.29;59.67;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:33:03;53.86;49.16;59.54;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:35:42;53.03;48.26;57.36;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:38:25;51.63;47.59;55.36;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:41:10;52.65;48.20;56.75;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:43:51;51.66;47.50;59.78;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:46:34;52.92;47.81;62.06;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:49:23;52.69;47.81;57.82;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:52:12;53.51;48.96;58.35;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:54:58;51.54;47.02;63.63;;
17594;Laerm;8916;47.086;15.920;2020-06-10T03:57:47;52.83;47.83;63.24;;
17594;Laerm;8916;47.086;15.920;2020-06-10T04:00:30;53.98;50.40;63.46;;
17594;Laerm;8916;47.086;15.920;2020-06-10T04:03:19;53.21;49.69;64.61;;
17594;Laerm;8916;47.086;15.920;2020-06-10T04:05:55;52.94;49.00;58.27;;
17594;Laerm;8916;47.086;15.920;2020-06-10T04:08:51;52.85;48.90;60.68;;
17594;Laerm;8916;47.086;15.920;2020-06-10T04:11:31;54.60;50.49;63.01;;
17594;Laerm;8916;47.086;15.920;2020-06-10T04:14:10;53.81;50.17;59.66;;
17594;Laerm;8916;47.086;15.920;2020-06-10T04:16:55;52.62;48.32;61.61;;
17594;Laerm;8916;47.086;15.920;2020-06-10T04:19:39;53.15;47.22;59.23;;
