sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
107;PPD42NS;49;48.530;9.200;2020-06-10T00:01:58;117.72;67662.00;0.23;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:04:43;187.64;108151.00;0.36;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:07:33;309.56;178881.00;0.60;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:10:14;105.18;60406.00;0.20;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:13:01;227.86;131467.00;0.44;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:15:37;563.93;326770.00;1.09;92.72;53198.00;0.18
107;PPD42NS;49;48.530;9.200;2020-06-10T00:18:37;418.36;242098.00;0.81;42.33;24076.00;0.08
107;PPD42NS;49;48.530;9.200;2020-06-10T00:21:37;274.13;158313.00;0.53;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:24:18;290.13;167599.00;0.56;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:27:02;541.95;313982.00;1.05;20.62;11541.00;0.04
107;PPD42NS;49;48.530;9.200;2020-06-10T00:29:45;36.95;20972.00;0.07;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:32:41;69.09;39541.00;0.13;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:35:21;252.20;145587.00;0.49;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:38:12;226.32;130574.00;0.44;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:40:48;0.62;0.00;0.00;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:43:29;136.76;78679.00;0.26;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:46:02;126.79;72911.00;0.24;0.62;0.00;0.00
107;PPD42NS;49;48.530;9.200;2020-06-10T00:48:52;505.72;292905.00;0.98;131.26;75500.00;0.25
107;PPD42NS;49;48.530;9.200;2020-06-10T00:51:49;239.04;137953.00;0.46;0.62;0.00;0.00
